O*NET-SOC Code	Reported Job Title	Shown in My Next Move
11-3031.00	Financial Center Manager	Y
11-3031.00	Financial Planning Manager	N
11-3031.00	Financial Reporting Manager	N
11-3031.00	Financial Systems Manager	N
11-3031.01	Comptroller	Y
11-3031.01	Controller	Y
11-3031.01	Corporate Controller	N
11-3031.01	Corporate Treasurer	Y
11-3031.01	Regional Controller	N
11-3031.01	School Treasurer	N
11-3031.01	Treasurer	Y
11-3031.01	Treasury Consultant	N
11-3031.03	Fixed Income Portfolio Manager	Y
11-3031.03	Fixed Income Vice President (Fixed Income VP)	Y
11-3031.03	Investment Analysis Vice President (Investment Analysis VP)	Y
11-3031.03	Portfolio Manager	Y
11-3051.00	Area Plant Manager	N
11-3051.00	Assembly Manager	Y
11-3051.00	General Production Manager	N
11-3051.00	Manufacturing Coordinator	N
11-3051.00	Manufacturing Manager	Y
11-3051.00	Plant Manager	Y
11-3051.00	Product Line Manager	N
11-3051.00	Production Control Manager	N
11-3051.00	Production Manager	Y
11-3051.00	Sub Plant Manager	N
11-3051.01	Product Quality Director	N
11-3051.01	Quality and Food Safety Manager	N
11-3051.01	Quality and Process Improvement Manager	N
11-3051.01	Quality Assurance Director (QA Director)	Y
11-3051.01	Quality Assurance Manager (QA Manager)	Y
11-3051.01	Quality Control Manager (QC Manager)	Y
11-3051.01	Quality Control Supervisor (QC Supervisor)	N
11-3051.01	Quality Director	N
11-3051.01	Quality Manager	Y
11-3051.01	Quality Systems Director	N
11-3051.02	Plant Manager	Y
11-3051.02	Plant Supervisor	Y
11-3051.02	Power Plant Operations Manager	Y
11-3051.03	Biofuels Production Manager	Y
11-3051.03	Ethanol Operations Manager	N
11-3051.03	Plant Manager	Y
11-3051.03	Production Coordinator	Y
11-3051.03	Production Manager	Y
11-3051.03	Production Plant Manager	N
11-3051.04	Fuel Manager	N
11-3051.04	Maintenance Manager	Y
11-3051.04	Maintenance Superintendent	N
11-3051.04	Maintenance Supervisor	Y
11-3051.04	Operations and Maintenance Manager (O&M Manager)	N
11-3051.04	Operations Manager	Y
11-3051.04	Operations Superintendent	N
11-3051.04	Operations Supervisor	N
11-3051.04	Plant Manager	Y
11-3051.04	Utilities Superintendent	N
11-3051.06	Hydroelectric Station Supervisor (Hydro Station Supervisor)	N
11-3051.06	Plant Manager	Y
11-3051.06	Power Plant Superintendent	Y
11-3051.06	Power Plant Supervisor	Y
11-3051.06	Power Project Manager	Y
11-3061.00	Category Purchasing Manager	N
11-3061.00	Commodity Manager	N
11-3061.00	Materials Director	N
11-3061.00	Materials Manager	Y
11-3061.00	Procurement Director	Y
11-3061.00	Procurement Manager	Y
11-3061.00	Purchasing Director	Y
11-3061.00	Purchasing Supervisor	N
11-3061.00	Strategic Sourcing Director	N
11-3071.00	Distribution Center Manager	Y
11-3071.00	Distribution Manager	N
11-3071.00	Fleet Manager	Y
11-3071.00	Global Transportation Manager	N
11-3071.00	Logistics Director	N
11-3071.00	Logistics Operations Manager	Y
11-3071.00	Shipping Manager	N
11-3071.00	Supply Chain Logistics Manager	Y
11-3071.00	Transportation Manager	N
11-3071.00	Warehouse Supervisor	N
11-3071.04	Global Supply Chain Director	Y
11-3071.04	Material Requirements Planning Manager	Y
11-3071.04	Solution Design and Analysis Manager	N
11-3071.04	Supply Chain Director	Y
11-3071.04	Supply Chain Manager	Y
11-3111.00	Benefits Coordinator	N
11-3111.00	Benefits Manager	Y
11-3111.00	Compensation and Benefits Manager	Y
11-3111.00	Compensation Director	Y
11-3111.00	Compensation Manager	Y
11-3111.00	Employee Benefits Coordinator	N
11-3111.00	Employee Benefits Director	N
11-3111.00	Employee Benefits Manager	N
11-3111.00	Payroll Manager	N
11-3121.00	Employee Relations Manager	Y
11-3121.00	HR Administration Director (Human Resources Administration Director)	Y
11-3121.00	Human Resources Director (HR Director)	Y
11-3121.00	Human Resources Manager (HR Manager)	Y
11-3121.00	Human Resources Operations Manager	N
11-3131.00	Development Manager	N
11-3131.00	Education and Development Manager	Y
11-3131.00	Education Director	Y
11-3131.00	Learning and Development Director	N
11-3131.00	Learning Manager	N
11-3131.00	Staff Training and Development Manager	N
11-3131.00	Training and Development Coordinator	N
11-3131.00	Training and Development Director	N
11-3131.00	Training Director	Y
11-3131.00	Training Manager	Y
11-9013.00	Aquaculture Director	Y
11-9013.00	Farm Manager	Y
11-9013.00	Farm Operations Technical Director	N
11-9013.00	Fish Hatchery Manager	N
11-9013.00	Greenhouse Manager	Y
11-9013.00	Harvesting Manager	N
11-9013.00	Hatchery Manager	N
11-9013.00	Hatchery Supervisor	N
11-9013.00	Nursery Manager	N
11-9013.00	Ranch Manager	Y
11-9021.00	Concrete Foreman	Y
11-9021.00	Construction Area Manager	Y
11-9021.00	Construction Foreman	N
11-9021.00	Construction Manager	Y
11-9021.00	Construction Services Manager	N
11-9021.00	Construction Superintendent	Y
11-9021.00	Job Superintendent	N
11-9031.00	Childcare Director	N
11-9031.00	Early Head Start Director	N
11-9031.00	Education Coordinator	N
11-9031.00	Education Director	Y
11-9031.00	Education Site Manager	N
11-9031.00	Preschool Director	Y
11-9031.00	Preschool Program Director	N
11-9031.00	Principal	Y
11-9031.00	Site Coordinator	Y
11-9032.00	Athletic Director	N
11-9032.00	Elementary Principal	Y
11-9032.00	High School Principal	N
11-9032.00	Middle School Principal	Y
11-9032.00	Principal	Y
11-9032.00	School Administrator	N
11-9032.00	School Superintendent	N
11-9032.00	Special Education Director	N
11-9032.00	Superintendent	Y
11-9032.00	Vice Principal	N
11-9033.00	Academic Affairs Vice President (Academic Affairs VP)	Y
11-9033.00	Academic Dean	Y
11-9033.00	Admissions Director	N
11-9033.00	College President	N
11-9033.00	Dean	Y
11-9033.00	Financial Aid Director	N
11-9033.00	Institutional Research Director	N
11-9033.00	Provost	N
11-9033.00	Registrar	Y
11-9033.00	Students Dean	N
11-9041.00	Civil Engineering Manager	N
11-9041.00	Electrical Engineering Manager	N
11-9041.00	Engineering Director	Y
11-9041.00	Engineering Group Manager	N
11-9041.00	Engineering Program Manager	Y
11-9041.00	Mechanical Engineering Manager	N
11-9041.00	Process Engineering Manager	N
11-9041.00	Project Engineering Manager	Y
11-9041.00	Project Manager	Y
11-9041.01	Analytical Research Program Manager	Y
11-9041.01	Biodiesel Division Manager	Y
11-9041.01	Biofuels Manager	N
11-9041.01	Business Development and New Technology Manager	N
11-9041.01	Laboratory Manager (Lab Manager)	Y
11-9041.01	Project Development Director	Y
11-9051.00	Banquet Manager	N
11-9051.00	Catering Manager	N
11-9051.00	Food and Beverage Director	N
11-9051.00	Food and Beverage Manager	Y
11-9051.00	Food Service Director	Y
11-9051.00	Food Service Manager	Y
11-9051.00	Food Service Supervisor	N
11-9051.00	Kitchen Manager	N
11-9051.00	Restaurant General Manager	N
11-9051.00	Restaurant Manager	Y
11-9071.00	Bingo Manager	N
11-9071.00	Casino Manager	Y
11-9071.00	Casino Shift Manager	N
11-9071.00	Gaming Director	N
11-9071.00	Gaming Manager	Y
11-9071.00	Slot Manager	Y
11-9071.00	Slot Operations Director	N
11-9071.00	Table Games Manager	Y
11-9071.00	Table Games Shift Manager	N
11-9081.00	Bed and Breakfast Innkeeper	N
11-9081.00	Front Desk Manager	Y
11-9081.00	Front Office Director	N
11-9081.00	Front Office Manager	Y
11-9081.00	Guest Relations Manager	N
11-9081.00	Guest Services Manager	N
11-9081.00	Hotel Manager	Y
11-9081.00	Night Manager	N
11-9081.00	Resort Manager	Y
11-9081.00	Rooms Director	N
11-9111.00	Cancer Center Director	N
11-9111.00	Clinical Director	Y
11-9111.00	Health Information Management Director (HIM Director)	Y
11-9111.00	Health Information Manager (HIM Manager)	Y
11-9111.00	Healthcare System Director	N
11-9111.00	Medical Records Director	N
11-9111.00	Medical Records Manager	N
11-9111.00	Mental Health Program Manager	N
11-9111.00	Nurse Manager	N
11-9111.00	Nursing Director	Y
11-9121.00	Analytical Services Manager	N
11-9121.00	Chemical Engineer Supervisor	N
11-9121.00	Chemical Process Exploration Manager	Y
11-9121.00	Environmental Program Manager	Y
11-9121.00	Lab Manager (Laboratory Manager)	N
11-9121.00	Natural Sciences Manager	Y
11-9121.00	Research Administrator	N
11-9121.00	Research and Development Director (R and D Director)	Y
11-9121.00	Research Manager	N
11-9121.00	Water Team Leader	N
11-9121.01	Clinical Coordinator	N
11-9121.01	Clinical Program Coordinator	N
11-9121.01	Clinical Program Manager	Y
11-9121.01	Clinical Research Administrator	N
11-9121.01	Clinical Research Coordinator	Y
11-9121.01	Clinical Research Manager	N
11-9121.01	Clinical Research Nurse Coordinator	N
11-9121.01	Clinical Trial Coordinator	N
11-9121.01	Clinical Trial Manager	Y
11-9121.01	Research Coordinator	Y
11-9121.02	Water Resources Planner	Y
11-9131.00	Delivery Supervisor	N
11-9131.00	Distribution Operation Supervisor (SDO)	Y
11-9131.00	Distribution Operations Manager	Y
11-9131.00	Distribution Operations Supervisor	N
11-9131.00	Mail Delivery Supervisor	N
11-9131.00	Postal Supervisor	N
11-9131.00	Postmaster	Y
11-9131.00	Postmaster Relief (PMR)	N
11-9131.00	Remote Encoding Center Manager	Y
11-9131.00	Remote Encoding Operations Supervisor	N
11-9141.00	Apartment Manager	Y
11-9141.00	Community Association Manager	N
11-9141.00	Community Manager	Y
11-9141.00	Lease Administration Supervisor	N
11-9141.00	Leasing Manager	N
11-9141.00	Occupancy Director	N
11-9141.00	On-Site Manager	N
11-9141.00	Property Manager	Y
11-9141.00	Real Estate Manager	N
11-9141.00	Resident Manager	Y
11-9151.00	Adoption Services Manager	N
11-9151.00	Child Welfare Services Director	Y
11-9151.00	Children's Service Supervisor	N
11-9151.00	Clinical Services Director	N
11-9151.00	Community Services Director	N
11-9151.00	Psychiatric Social Worker Supervisor	N
11-9151.00	Social Services Director	Y
11-9151.00	Transitional Care Director	Y
11-9151.00	Vocational Rehabilitation Administrator	Y
11-9161.00	Emergency Management Coordinator	Y
11-9161.00	Emergency Management System Director (EMS Director)	Y
11-9161.00	Emergency Planner	Y
11-9161.00	Emergency Preparedness Coordinator	N
11-9161.00	Emergency Services Director	Y
11-9161.00	Public Safety Director	N
11-9171.00	Arranging Funeral Director	N
11-9171.00	Funeral Home Location Manager	N
11-9171.00	Funeral Home Manager	Y
11-9171.00	Funeral Service Manager	Y
11-9171.00	Mortuary Operations Manager	Y
11-9171.00	Prearranged Funerals Sales Manager	Y
11-9179.01	Clinical and Wellness Programs Manager	N
11-9179.01	Fitness and Wellness Coordinator	Y
11-9179.01	Fitness and Wellness Director	Y
11-9179.01	Fitness Center Manager	N
11-9179.01	Fitness Coordinator	Y
11-9179.01	Fitness Director	Y
11-9179.01	Group Fitness Manager (GFM)	N
11-9179.01	Wellness and Coaching Manager	N
11-9179.01	Wellness Director	N
11-9179.01	Wellness Programs Director	N
11-9179.02	Massage Department Manager	N
11-9179.02	Salon Manager	Y
11-9179.02	Spa and Guest Experience Director	Y
11-9179.02	Spa Director	Y
11-9179.02	Spa Manager	Y
11-9199.01	Global Regulatory Affairs Director (Global RA Director)	Y
11-9199.01	Global Regulatory Affairs Manager (Global RA Manager)	Y
11-9199.01	Regulatory Affairs Director (RA Director)	Y
11-9199.01	Regulatory Affairs Manager (RA Manager)	Y
11-9199.01	Regulatory Affairs Quality Assurance Director (RA QA Director)	N
11-9199.01	Regulatory Director	N
11-9199.01	Regulatory Science Director	N
11-9199.02	Accreditation Lieutenant	N
11-9199.02	Accreditation Manager	N
11-9199.02	Compliance Director	Y
11-9199.02	Compliance Manager	Y
11-9199.02	Compliance Operations Manager	N
11-9199.02	Environmental Health and Safety Director	N
11-9199.02	Environmental Manager	Y
11-9199.02	Environmental Program Manager	Y
11-9199.02	Health, Safety, and Environmental Manager (HSE Manager)	N
11-9199.02	Risk Manager	N
11-9199.08	Asset Protection Manager	Y
11-9199.08	Logistics Loss Prevention Manager	N
11-9199.08	Loss Control Manager	N
11-9199.08	Loss Prevention Director	Y
11-9199.08	Loss Prevention Manager	Y
11-9199.08	Loss Prevention Operations Director	N
11-9199.08	Loss Prevention Operations Manager	Y
11-9199.08	Loss Prevention Supervisor	N
11-9199.08	Market Asset Protection Manager	N
11-9199.09	Service Site Manager	N
11-9199.09	Site Manager	Y
11-9199.09	Turbine Site Manager	N
11-9199.09	Wind Facilities Manager	N
11-9199.09	Wind Operations Supervisor	Y
11-9199.09	Wind Plant Manager	Y
11-9199.09	Wind Plant Operations Manager	N
11-9199.09	Wind Site Manager	Y
11-9199.09	Wind Site Supervisor	N
11-9199.09	Wind Technician Leader	N
11-9199.10	Business Development Director	Y
11-9199.10	Business Development Manager	Y
11-9199.10	Development Director	Y
11-9199.10	Development Manager	Y
11-9199.10	Project Development Leader	N
11-9199.10	Renewable Project Management and Construction Director	N
11-9199.11	Brownfield Program Director	Y
11-9199.11	Brownfield Program Manager	N
11-9199.11	Brownfield Redevelopment Coordinator	Y
11-9199.11	Brownfields Practice Leader	Y
11-9199.11	Brownfields Program Coordinator	N
11-9199.11	Brownfields Program Manager	N
11-9199.11	Environmental Practice Leader	N
11-9199.11	Environmental Program Manager	Y
11-9199.11	Environmental Quality Division Manager	N
11-9199.11	Environmental Quality Specialist	N
13-1011.00	Agent	Y
13-1011.00	Athlete Marketing Agent	N
13-1011.00	Booker	N
13-1011.00	Booking Agent	Y
13-1011.00	Entertainment Specialist	N
13-1011.00	Literary Agent	N
13-1011.00	Print Agent	N
13-1011.00	Talent Agent	Y
13-1011.00	Talent Representative	N
13-1011.00	Theatrical Agent	Y
13-1021.00	Buyer	Y
13-1021.00	Grain Buyer	Y
13-1021.00	Grain Merchandiser	Y
13-1021.00	Grain Origination Specialist	N
13-1021.00	Purchasing Agent	Y
13-1021.00	Tobacco Buyer	N
13-1022.00	Buyer	Y
13-1022.00	Grocery Buyer	Y
13-1022.00	Procurement Specialist	Y
13-1022.00	Purchaser	N
13-1022.00	Purchasing Coordinator	N
13-1022.00	Retail Buyer	N
13-1022.00	Trader	Y
13-1023.00	Buyer	Y
13-1023.00	Procurement Official	Y
13-1023.00	Procurement Specialist	Y
13-1023.00	Purchasing Administrator	N
13-1023.00	Purchasing Agent	Y
13-1031.00	Claims Adjuster	Y
13-1031.00	Claims Analyst	Y
13-1031.00	Claims Examiner	Y
13-1031.00	Claims Representative	Y
13-1031.00	Claims Specialist	N
13-1031.00	Corporate Claims Examiner	N
13-1031.00	Field Claims Adjuster	N
13-1031.00	General Adjuster	N
13-1031.00	Home Office Claims Specialist	N
13-1031.00	Litigation Claims Representative	N
13-1032.00	Appraiser	Y
13-1032.00	Automobile Appraiser (Auto Appraiser)	Y
13-1032.00	Automobile Damage Appraiser (Auto Damage Appraiser)	Y
13-1032.00	Damage Appraiser	N
13-1032.00	Field Appraiser	N
13-1032.00	Field Inspector	N
13-1032.00	Insurance Appraiser	N
13-1032.00	Material Damage Appraiser	Y
13-1032.00	Outside Physical Damage Appraiser	N
13-1032.00	Physical Damage Appraiser	N
13-1041.00	Driver Examiner	N
13-1041.00	Driver License Agent	N
13-1041.00	Driver License Examiner	Y
13-1041.00	Examiner	N
13-1041.00	License Examiner	Y
13-1041.00	License Registration Examiner	N
13-1041.00	Licensing Analyst	N
13-1041.00	Motor Vehicle Clerk	Y
13-1041.00	Public Service Representative (PSR)	Y
13-1041.00	Transportation Services Representative (TSR)	N
13-1041.01	Air Permitting and Enforcement Inspector	N
13-1041.01	Compliance Investigator	N
13-1041.01	Enforcement Officer	Y
13-1041.01	Environmental Compliance Inspector	N
13-1041.01	Environmental Inspector	Y
13-1041.01	Environmental Protection Specialist	Y
13-1041.01	Environmental Quality Analyst	Y
13-1041.01	Resource Conservation and Recovery Act Enforcement Officer (RCRA Enforcement Officer)	N
13-1041.01	Toxics Program Officer	N
13-1041.01	Waste Management Specialist	N
13-1041.03	Affirmative Action Officer (AA Officer)	Y
13-1041.03	Civil Rights Investigator	Y
13-1041.03	Civil Rights Representative	N
13-1041.03	Complaint Investigations Officer	N
13-1041.03	Equal Employment Opportunity Officer (EEO Officer)	Y
13-1041.03	Equal Employment Opportunity Representative (EEO Representative)	N
13-1041.03	Equal Opportunity Specialist	Y
13-1041.04	Airport Operations Officer	N
13-1041.04	Housing Inspector	Y
13-1041.04	Housing Management Representative	N
13-1041.04	Housing Quality Standard Inspector (HQS Inspector)	Y
13-1041.04	Neighborhood Conservation Officer	N
13-1041.04	Quality Assurance Specialist	Y
13-1041.04	Rehabilitation Construction Specialist	Y
13-1041.06	Coroner	Y
13-1041.06	Coroner Investigator	N
13-1041.06	County Coroner	Y
13-1041.06	County Medical Examiner	N
13-1041.06	Deputy Coroner	Y
13-1041.06	District Medical Examiner	N
13-1041.06	Medical Examiner	Y
13-1041.06	Medical Legal Investigator (MLI)	N
13-1041.06	Medicolegal Death Investigator	N
13-1041.07	Drug Regulatory Affairs Specialist	N
13-1041.07	Regulatory Affairs Analyst (RA Analyst)	N
13-1041.07	Regulatory Affairs Associate (RA Associate)	Y
13-1041.07	Regulatory Affairs Consultant (RA Consultant)	Y
13-1041.07	Regulatory Affairs Specialist (RA Specialist)	Y
13-1041.07	Regulatory Affairs Strategist (RA Strategist)	N
13-1041.07	Regulatory Engineer	Y
13-1041.07	Regulatory Services Consultant	N
13-1041.07	Regulatory Specialist	N
13-1041.07	Regulatory Submissions Associate	N
13-1041.08	Corporate Licensed Broker	Y
13-1041.08	Customs Broker	Y
13-1051.00	Acquisition Cost Estimator	N
13-1051.00	Construction Estimator	Y
13-1051.00	Cost Analyst	Y
13-1051.00	Cost Consultant	N
13-1051.00	Cost Engineer	N
13-1051.00	Cost Estimator	Y
13-1051.00	Estimator	Y
13-1071.00	Corporate Recruiter	N
13-1071.00	Employment Representative	N
13-1071.00	HR Analyst (Human Resources Analyst)	N
13-1071.00	HR Coordinator (Human Resources Coordinator)	Y
13-1071.00	HR Generalist (Human Resources Generalist)	Y
13-1071.00	Human Resources Representative (HR Rep)	N
13-1071.00	Human Resources Specialist (HR Specialist)	Y
13-1071.00	Personnel Analyst	N
13-1071.00	Personnel Officer	N
13-1071.00	Recruiter	Y
13-1074.00	Farm Labor Contractor	Y
13-1074.00	Field Manager	Y
13-1074.00	Field Supervisor	Y
13-1075.00	Business Agent	Y
13-1075.00	Business Representative	Y
13-1075.00	Field Operations Coordinator	Y
13-1075.00	Grievance Manager	N
13-1075.00	Labor Relations Specialist	Y
13-1081.00	Client Services Administrator	Y
13-1081.00	Logistician	Y
13-1081.00	Production Planner	Y
13-1081.00	Supply Management Specialist	Y
13-1081.01	Acquisition Logistics Engineer	N
13-1081.01	Logistics Engineer	Y
13-1081.01	Reliability Engineer	Y
13-1081.01	Supportability Engineer	Y
13-1081.01	Systems Engineer	Y
13-1081.02	Global Logistics Analyst	N
13-1081.02	Logistics Analyst	Y
13-1081.02	Logistics Management Analyst	Y
13-1081.02	Material Supply Planner	N
13-1081.02	Supply Chain Analyst	Y
13-1081.02	Transportation Analyst	Y
13-1111.00	Administrative Analyst	N
13-1111.00	Business Analyst	Y
13-1111.00	Business Consultant	Y
13-1111.00	Employment Programs Analyst	N
13-1111.00	Management Analyst	Y
13-1111.00	Management Consultant	Y
13-1111.00	Organizational Development Consultant	N
13-1111.00	Performance Management Analyst	N
13-1111.00	Program Management Analyst	N
13-1121.00	Catering Director	N
13-1121.00	Conference Planner	N
13-1121.00	Conference Planning Manager	Y
13-1121.00	Conference Services Director	N
13-1121.00	Conference Services Manager	Y
13-1121.00	Convention Services Director	N
13-1121.00	Convention Services Manager (CSM)	Y
13-1121.00	Event Coordinator	N
13-1121.00	Events Manager	Y
13-1121.00	Special Events Coordinator	N
13-1131.00	Contract Grant Writer	Y
13-1131.00	Development Associate	N
13-1131.00	Development Officer	Y
13-1131.00	Direct Response Consultant	N
13-1131.00	Fundraising Consultant	Y
13-1131.00	Grant Coordinator	N
13-1131.00	Philanthropy Officer	Y
13-1131.00	Principal Gifts Officer	N
13-1141.00	Benefits Administrator	N
13-1141.00	Benefits Analyst	Y
13-1141.00	Benefits Specialist	N
13-1141.00	Compensation Analyst	Y
13-1141.00	Compensation Consultant	Y
13-1141.00	Compensation Coordinator	N
13-1141.00	Compensation Specialist	N
13-1141.00	Personnel Specialist	Y
13-1141.00	Position Classification Specialist	N
13-1151.00	Computer Training Specialist	N
13-1151.00	Corporate Trainer	Y
13-1151.00	Job Training Specialist	Y
13-1151.00	Leadership Development Specialist	N
13-1151.00	Learning and Development Consultant	N
13-1151.00	Learning and Development Specialist (L and D Specialist)	Y
13-1151.00	Management Development Specialist	N
13-1151.00	Trainer	N
13-1151.00	Training and Development Consultant	N
13-1151.00	Training Specialist	Y
13-1161.00	Business Development Specialist	N
13-1161.00	Communications Specialist	N
13-1161.00	Demographic Analyst	N
13-1161.00	Market Analyst	Y
13-1161.00	Market Research Analyst	Y
13-1161.00	Market Research Consultant	Y
13-1161.00	Market Research Specialist	Y
13-1161.00	Market Researcher	N
13-1161.01	Digital Marketing Strategist	N
13-1161.01	Digital Media Planner	Y
13-1161.01	Internet Marketing Specialist	N
13-1161.01	Marketing Consultant	N
13-1161.01	Online Marketing Consultant	Y
13-1161.01	Paid Search Consultant	N
13-1161.01	Paid Search Strategist	Y
13-1161.01	Search Engine Optimization Consultant (SEO Consultant)	N
13-1161.01	SEO Strategist (Search Engine Optimization Strategist)	Y
13-1161.01	Social Media Specialist	N
13-1199.04	Business Continuity Administrator	Y
13-1199.04	Business Continuity Analyst	Y
13-1199.04	Business Continuity and Disaster Recovery Consultant	N
13-1199.04	Business Continuity Consultant	Y
13-1199.04	Business Continuity Coordinator	Y
13-1199.04	Business Continuity Professional	N
13-1199.05	Campus Energy Coordinator	N
13-1199.05	Energy and Sustainability Strategic Advisor	N
13-1199.05	Sustainability Advisor	N
13-1199.05	Sustainability Champion	N
13-1199.05	Sustainability Consultant	Y
13-1199.05	Sustainability Coordinator	Y
13-1199.05	Sustainability Specialist	Y
13-1199.05	Sustainable Design Champion	N
13-1199.05	Sustainable Design Consultant	N
13-1199.05	Sustainable Design Coordinator	Y
13-1199.06	Online Services Manager	Y
13-1199.07	Physical Security Engineer	Y
13-1199.07	Physical Security Specialist	Y
13-1199.07	Security Analyst	Y
13-1199.07	Security Consultant	Y
13-1199.07	Security Specialist	N
13-2011.00	Accountant	Y
13-2011.00	Accounting Officer	N
13-2011.00	Audit Partner	N
13-2011.00	Auditor	Y
13-2011.00	Certified Public Accountant (CPA)	Y
13-2011.00	Cost Accountant	N
13-2011.00	Financial Auditor	Y
13-2011.00	General Accountant	N
13-2011.00	Internal Auditor	N
13-2011.00	Revenue Tax Specialist	N
13-2023.00	Appraiser	Y
13-2023.00	Assessor	Y
13-2023.00	Certified Real Estate Appraiser	N
13-2023.00	Commercial Appraiser	N
13-2023.00	County Assessor	N
13-2023.00	Field Appraiser	N
13-2023.00	Real Estate Appraiser	Y
13-2023.00	Real Property Appraiser	N
13-2023.00	Tax Assessor	N
13-2023.00	Valuation Consultant	Y
13-2031.00	Budget Analyst	Y
13-2031.00	Budget Coordinator	Y
13-2031.00	Budget Officer	Y
13-2031.00	Financial Services Officer	N
13-2031.00	Policy Analyst	Y
13-2041.00	Credit Administrator	Y
13-2041.00	Credit Analyst	Y
13-2041.00	Credit and Collections Analyst	N
13-2041.00	Credit Officer	Y
13-2041.00	Credit Representative	Y
13-2041.00	Credit Risk Analyst	N
13-2041.00	Municipal Fixed Income Analyst	N
13-2051.00	Analyst	Y
13-2051.00	Credit Products Officer	N
13-2051.00	Equity Research Analyst	N
13-2051.00	Financial Analyst	Y
13-2051.00	Investment Analyst	Y
13-2051.00	Planning Analyst	N
13-2051.00	Portfolio Manager	N
13-2051.00	Real Estate Analyst	N
13-2051.00	Securities Analyst	Y
13-2051.00	Trust Officer	N
13-2052.00	Certified Financial Planner (CFP)	Y
13-2052.00	Financial Advisor	Y
13-2052.00	Financial Consultant	N
13-2052.00	Financial Counselor	N
13-2052.00	Financial Planner	Y
13-2052.00	Investment Advisor	N
13-2052.00	Portfolio Manager	Y
13-2052.00	Wealth Advisor	N
13-2053.00	Account Underwriter	Y
13-2053.00	Automobile and Property Underwriter	N
